Data Download from NCSES Interactive Data Tool

Filters,Selected values
"State","ALL"
"Fiscal Year","ALL"
"Institution Name","ALL"

"Deflator: 2012 Dollars",
"Unit of Measure: Thousands of Dollars",

,"<Fiscal Year>","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973",
"South Carolina","Total for selected values","661,386","668,590","647,717","648,617","634,915","632,482","636,958","636,534","632,435","687,141","659,889","625,621","629,116","594,172","574,828","553,644","549,561","493,489","452,945","376,902","350,765","330,053","303,926","307,072","316,872","291,081","269,051","251,111","234,966","220,754","199,544","174,948","169,896","157,733","128,401","115,173","105,976","97,514","85,587","81,249","78,643","65,507","65,216","63,316","61,363","50,887","44,340",
"South Carolina","Benedict C.","1,130","1,756","1,553","1,560","1,310","2,391","2,618","2,754","3,067","1,595","1,407","1,643","1,922","1,663","1,709","1,221","6,500","1,309","1,308","1,464","1,265","1,063","852","866","1,183","1,509","871","1,043","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Carolina","C. Charleston","6,775","6,697","8,270","9,618","10,122","9,678","10,048","9,579","8,480","14,793","6,339","7,101","8,333","8,276","6,739","6,452","5,580","4,065","3,846","3,903","2,750","2,642","2,489","2,346","2,200","2,053","1,899","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Carolina","Citadel Military C. South Carolina","-","-","-","-","-","-","-","-","423","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Carolina","Claflin U.","1,554","1,370","1,260","1,673","1,198","1,753","2,615","5,255","5,543","3,384","3,503","1,689","1,363","1,033","254","301","355","250","2,599","711","727","1,864","1,684","1,044","751","146","261","356","582","322","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Carolina","Clemson U.","194,750","193,824","179,038","173,659","163,391","155,353","149,815","142,096","169,541","181,762","204,123","212,961","234,585","205,338","206,201","194,786","193,204","166,363","155,264","147,166","130,078","119,748","112,879","115,923","115,328","108,780","114,000","115,232","106,703","104,701","92,382","83,604","81,504","69,990","59,237","56,524","54,143","47,937","42,269","43,446","44,315","39,843","38,215","36,382","38,072","30,340","26,908",
"South Carolina","Coastal Carolina U.","1,818","1,481","1,754","1,679","1,777","2,089","2,473","2,412","2,203","2,501","1,658","2,291","1,331","1,573","936","1,570","1,214","1,357","1,301","1,636","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Carolina","Coker C.","-","-","-","-","-","-","-","-","250","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Carolina","Francis Marion U.","-","-","-","-","-","-","-","-","279","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Carolina","Furman U.","1,449","1,874","1,900","1,764","1,840","1,543","2,161","2,049","2,226","2,405","1,984","1,450","1,127","1,591","1,690","1,835","1,376","1,745","901","1,016","478","693","893","995","803","402","367","352","342","335","327","320","119","185","249","319","380","201","205","215","230","-","727","511","268","183","551",
"South Carolina","Medical U. South Carolina","263,157","256,291","242,956","245,527","232,405","233,984","241,218","236,586","217,438","233,722","228,179","200,849","199,623","195,473","203,712","192,474","182,360","162,896","146,243","83,562","73,090","76,963","76,715","74,370","80,002","65,703","61,728","47,383","39,312","36,324","37,503","35,472","34,460","34,629","25,063","22,300","20,266","19,651","19,299","20,380","16,005","16,614","15,622","14,201","11,250","10,792","9,197",
"South Carolina","South Carolina State U.","3,257","13,738","13,247","12,343","12,031","12,258","12,588","12,909","10,230","7,457","8,984","8,615","4,104","4,215","4,342","4,185","3,906","3,616","3,653","3,733","3,797","3,832","3,835","4,099","5,692","7,360","5,953","5,444","3,838","4,073","2,760","1,348","1,539","1,715","1,891","2,096","2,323","2,571","1,913","1,202","1,254","-","1,890","1,858","1,350","1,354","239",
"South Carolina","U. SC all campuses","-","-","-","-","-","-","-","-","-","-","203,712","189,023","176,727","175,009","148,934","150,820","155,066","151,888","137,828","133,711","138,581","123,248","104,579","107,428","110,913","105,128","82,794","80,743","83,694","74,566","65,860","53,906","51,989","50,947","41,716","33,706","28,657","26,966","21,447","15,611","16,368","9,050","8,497","10,085","10,423","8,218","7,345",
"South Carolina","U. South Carolina Upstate","-","-","-","-","-","-","-","-","447","272","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Carolina","U. South Carolina, Aiken","2,209","2,363","2,743","1,364","1,101","1,093","1,286","-","764","351","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Carolina","U. South Carolina, Beaufort","-","-","-","-","851","-","-","-","899","481","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Carolina","U. South Carolina, Columbia","183,337","187,374","193,306","197,547","199,197","198,855","199,857","214,901","205,458","238,418","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Carolina","Voorhees C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","312","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","344","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Carolina","Winthrop U.","1,949","1,822","1,692","1,881","9,692","13,485","12,279","7,993","5,187","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","621","558","495","433","368","298","284","266","246","227","208","187","454","395","472","-","266","279","-","-","100",
"South Carolina","York Technical C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","557","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Dakota","Total for selected values","105,385","105,203","104,602","100,950","98,644","101,237","115,337","129,200","138,919","136,473","116,590","98,314","89,390","82,713","80,641","69,822","60,547","47,438","40,730","35,336","33,847","33,838","33,446","35,238","30,260","31,313","32,741","27,586","24,708","22,956","20,680","21,232","20,277","19,950","16,956","16,220","20,427","23,309","21,285","25,388","24,797","24,550","25,144","24,744","22,564","24,651","27,215",
"South Dakota","Augustana U.","749","1,062","1,123","-","746","1,067","1,027","1,160","1,608","949","854","894","873","990","737","340","392","375","392","410","428","444","458","476","494","514","535","499","463","430","396","359","302","239","172","104","31","65","84","293","165","-","108","162","335","392","439",
"South Dakota","Black Hills State U.","1,808","1,426","1,954","2,674","2,319","2,296","3,008","2,466","1,675","3,000","2,683","3,099","3,386","3,414","4,754","2,084","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Dakota","Dakota State U.","3,303","3,286","2,116","2,049","1,099","1,395","1,547","5,709","1,034","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Dakota","Oglala Lakota C.","-","-","-","-","-","-","-","-","302","-","-","216","2,058","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Dakota","Sinte Gleska U.","-","-","-","-","-","455","2,452","-","842","655","2,903","1,504","1,421","1,723","1,192","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Dakota","South Dakota School of Mines and Technology","11,549","13,704","14,397","14,533","14,286","10,150","11,946","19,140","32,685","29,728","15,129","17,503","15,656","13,978","15,268","12,534","13,146","11,958","8,675","7,356","5,448","6,044","5,777","6,853","6,672","6,703","6,021","5,485","4,330","4,712","4,230","4,094","3,359","3,553","3,385","3,395","3,424","3,460","3,570","3,794","4,137","3,857","3,429","3,341","2,962","3,935","5,255",
"South Dakota","South Dakota State U.","59,463","57,627","58,743","57,278","55,705","56,264","62,742","68,743","71,016","70,286","58,507","50,977","42,778","37,190","37,050","36,554","33,504","24,780","24,711","21,497","20,425","20,763","21,050","20,394","18,712","20,007","20,386","18,852","17,488","14,938","13,804","14,599","14,513","14,159","11,519","10,946","15,207","17,752","17,161","19,230","18,455","18,664","17,430","16,859","15,984","16,572","17,843",
"South Dakota","U. Sioux Falls","-","-","-","-","-","-","-","-","243","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"South Dakota","U. South Dakota","28,513","28,097","26,270","24,415","24,488","29,610","32,615","31,982","29,514","31,855","36,514","24,121","23,218","25,417","21,641","18,311","13,505","10,324","6,951","6,073","7,545","6,587","6,160","7,515","4,382","4,090","5,798","2,749","2,428","2,876","2,250","2,179","2,104","1,999","1,880","1,775","1,765","2,031","469","2,070","2,040","2,028","4,177","4,382","3,283","3,752","3,679",
"Tennessee","Total for selected values","1,190,448","1,174,893","1,096,633","1,030,669","1,027,847","1,093,146","1,014,322","1,025,283","1,036,419","976,206","926,506","883,721","864,742","857,214","865,258","805,626","750,435","606,124","536,734","519,091","486,727","460,584","446,435","437,138","432,417","438,080","406,116","391,479","371,363","355,707","340,024","325,093","278,273","245,619","220,228","187,676","178,761","175,634","193,647","180,819","188,679","145,425","137,556","139,141","134,492","126,715","139,662",
"Tennessee","Austin Peay State U.","2,034","2,401","1,977","1,721","2,016","1,931","2,031","2,124","2,222","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Tennessee","Carson-Newman C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","106","140",
"Tennessee","Christian Brothers U.","-","-","-","-","-","-","-","-","199","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Tennessee","East Tennessee State U.","12,639","12,751","8,794","7,535","6,613","7,558","8,765","11,213","10,446","10,268","9,942","8,999","8,941","9,091","9,552","9,470","15,997","14,436","10,305","8,317","4,388","4,187","3,025","3,081","3,068","3,243","2,796","2,599","2,643","2,987","2,654","1,969","2,205","2,041","1,860","1,306","1,585","2,035","2,038","1,748","1,212","237","90","213","74","205","100",
"Tennessee","Fisk U.","4,227","2,533","4,648","10,039","9,404","8,751","6,452","4,058","4,942","8,012","5,542","3,024","7,136","7,328","7,550","5,898","4,058","3,738","3,411","4,356","5,282","3,864","2,645","2,691","2,505","2,317","2,179","1,956","974","1,816","1,885","2,948","1,511","1,315","1,107","900","682","448","441","449","454","-","419","616","848","406","519",
"Tennessee","George Peabody C. for Teachers","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5,362","5,173","4,945","5,071","5,005","7,724","9,935",
"Tennessee","Knoxville C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","219","223","173","121","33","49","64","80","98","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Tennessee","LeMoyne-Owen C.","-","-","-","-","-","-","-","-","213","737","417","-","-","167","-","-","-","-","1,589","2,177","1,379","1,927","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Tennessee","Meharry Medical C.","16,279","15,418","15,546","13,941","13,358","18,323","22,143","25,559","29,612","28,094","27,985","36,222","35,917","36,504","33,293","32,445","30,799","25,302","18,779","12,116","12,387","14,893","15,061","15,321","14,941","14,684","13,469","10,781","11,013","10,465","10,695","8,852","8,409","7,431","6,372","5,325","4,225","4,573","4,186","3,979","3,224","4,589","4,655","3,144","4,194","6,619","7,593",
"Tennessee","Middle Tennessee State U.","6,831","6,476","4,367","5,819","4,151","4,180","5,619","7,108","5,064","4,987","3,650","3,542","2,688","2,672","3,012","3,192","2,744","591","1,001","939","809","395","625","731","577","465","237","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Tennessee","Rhodes C.","-","-","-","-","-","-","-","-","803","837","730","570","559","531","395","333","340","345","350","356","363","367","369","374","380","386","393","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Tennessee","Sewanee: U. of the South","-","-","-","662","1,064","1,175","-","927","1,037","-","-","-","248","280","399","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Tennessee","Southern C. of Optometry","-","-","-","-","-","-","-","-","400","-","-","-","-","-","-","-","-","-","-","83","94","81","317","566","576","588","601","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Tennessee","Tennessee State U.","13,564","16,055","16,775","18,426","19,043","19,356","15,898","15,439","13,726","12,935","13,243","13,333","14,037","16,314","17,459","18,514","18,266","18,830","16,031","14,454","14,092","12,392","11,591","12,485","10,340","9,825","7,620","6,647","5,635","5,183","5,608","5,771","4,766","4,780","4,438","4,125","3,533","2,902","2,779","2,392","-","-","-","-","-","-","-",
"Tennessee","Tennessee Technological U.","12,286","11,591","11,190","10,882","10,576","9,739","9,547","10,233","13,501","17,432","15,603","13,100","13,514","11,087","11,155","10,616","11,886","12,119","11,715","11,371","12,052","12,833","12,160","12,555","14,171","13,293","13,752","14,663","15,022","15,126","12,284","12,671","12,218","8,771","5,124","2,694","2,587","2,811","3,319","1,997","2,151","1,472","1,435","1,969","1,555","1,519","1,205",
"Tennessee","U. Memphis","52,257","58,383","46,036","45,614","44,542","53,594","47,311","51,194","49,248","51,521","57,861","59,474","61,916","62,938","78,363","72,509","60,393","41,486","36,903","35,069","31,792","29,869","28,572","25,182","20,374","18,901","17,034","18,075","18,230","18,962","16,117","13,886","12,502","9,547","7,462","3,567","2,683","2,933","3,531","2,742","3,549","2,156","2,634","2,204","2,258","871","2,717",
"Tennessee","U. Tennessee, Chattanooga","8,261","6,887","5,884","5,286","6,505","6,018","7,709","10,896","9,428","11,184","8,740","9,123","6,478","8,703","11,775","7,834","6,786","2,426","1,996","1,798","2,096","2,123","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","60","73","-","-","-",
